,ARS_BL,BL_name,ARS_KREIS,ARS_GEM_VERBAND,Personen [Anzahl],Fläche [qkm],Bevölkerungsdichte [Ew/qkm]
2825,14,Sachsen,25,90,4551,26.65,170.77
2826,14,Sachsen,25,100,2638,21.1,125.02
2827,14,Sachsen,25,110,4243,40.48,104.82
2828,14,Sachsen,25,120,3346,127.61,26.22
2829,14,Sachsen,25,130,2683,32.63,82.22
2830,14,Sachsen,25,150,2975,43.27,68.75
2831,14,Sachsen,25,160,4098,54.22,75.58
2832,14,Sachsen,25,200,9417,40.94,230.02
2833,14,Sachsen,25,220,3910,37.5,104.27
2834,14,Sachsen,25,230,2222,41.75,53.22
2835,14,Sachsen,25,240,31064,94.99,327.02
2836,14,Sachsen,25,250,17282,98.3,175.81
2837,14,Sachsen,25,280,3466,47.17,73.48
2838,14,Sachsen,25,290,2442,43.64,55.96
2839,14,Sachsen,25,310,7961,42.14,188.92
2840,14,Sachsen,25,330,5145,134.96,38.12
2841,14,Sachsen,25,340,4757,93.27,51.0
2842,14,Sachsen,25,380,4762,21.3,223.57
2843,14,Sachsen,25,420,2222,43.71,50.84
2844,14,Sachsen,25,430,10055,25.93,387.77
2845,14,Sachsen,25,480,18724,29.83,627.69
2846,14,Sachsen,25,490,3146,61.99,50.75
2847,14,Sachsen,25,525,6102,24.34,250.7
2848,14,Sachsen,25,530,2969,32.93,90.16
2849,14,Sachsen,25,550,2444,56.03,43.62
2850,14,Sachsen,25,560,6450,37.3,172.92
2851,14,Sachsen,25,570,1773,108.8,16.3
2852,14,Sachsen,25,590,2666,18.04,147.78
2853,14,Sachsen,25,600,4218,38.11,110.68
2854,14,Sachsen,25,610,3056,50.96,59.97
2855,14,Sachsen,25,630,4741,17.04,278.23
2856,14,Sachsen,25,640,5676,61.02,93.02
2857,14,Sachsen,25,5207,12096,56.97,212.32
2858,14,Sachsen,25,5211,3845,46.71,82.32
2859,14,Sachsen,25,5212,4824,26.3,183.42
2860,14,Sachsen,25,5218,8079,181.76,44.45
2861,14,Sachsen,25,5223,3194,57.8,55.26
2862,14,Sachsen,25,5231,13990,80.97,172.78
2863,14,Sachsen,25,5501,7195,102.86,69.95
2864,14,Sachsen,26,60,4253,217.67,19.54
2865,14,Sachsen,26,85,11201,20.45,547.73
