Tabelle: 1000A-0001
Personen: Bevölkerungszahl und Fläche (Gemeinden);;;;;
Bevölkerung kompakt (Gebietsstand 15.05.2022);;;;;;;;
;;;Personen;;Fläche;;Bevölkerungsdichte;
;;;Anzahl;Anzahl;qkm;qkm;Ew/qkm;Ew/qkm
;010555546006;Beschendorf;580;e;8,54;e;68;e
;010555546011;Damlos;644;e;9,24;e;70;e
;010555546020;Harmsdorf (Kreis Ostholstein);696;e;17,82;e;39;e
;010555546023;Kabelhorst;417;e;5,79;e;72;e
;010555546027;Lensahn;4982;e;27,70;e;180;e
;010555546029;Manhagen;392;e;9,63;e;41;e
;010555546036;Riepsdorf;969;e;25,81;e;38;e
;010555591002;Altenkrempe;1082;e;36,64;e;30;e
;010555591024;Kasseedorf;1448;e;33,92;e;43;e
;010555591037;Schashagen;2010;e;41,46;e;48;e
;010555591038;Schönwalde am Bungsberg;2489;e;39,12;e;64;e
;010555591039;Sierksdorf;1561;e;19,50;e;80;e
;010560002002;Barmstedt, Stadt;10282;e;17,17;e;599;e
;010560005005;Bönningstedt;4525;e;12,05;e;376;e
;010560015015;Elmshorn, Stadt;51248;e;21,36;e;2399;e
;010560018018;Halstenbek;18012;e;12,58;e;1432;e
;010560021021;Hasloh;3755;e;11,07;e;339;e
;010560025025;Helgoland;1405;e;4,21;e;334;e
;010560039039;Pinneberg, Stadt;43925;e;21,54;e;2039;e
;010560041041;Quickborn, Stadt;22372;e;43,16;e;518;e
;010560043043;Rellingen;14560;e;13,18;e;1105;e
;010560044044;Schenefeld, Stadt;19465;e;9,99;e;1948;e
;010560048048;Tornesch, Stadt;14067;e;20,61;e;683;e
;010560049049;Uetersen, Stadt;18344;e;11,43;e;1605;e
;010560050050;Wedel, Stadt;34420;e;33,81;e;1018;e
;010565616029;Klein Nordende;3361;e;10,79;e;311;e
;010565616030;Klein Offenseth-Sparrieshoop;3089;e;16,92;e;183;e
;010565616031;Kölln-Reisiek;3400;e;6,77;e;502;e
;010565616033;Seester;1037;e;11,57;e;90;e
;010565616042;Raa-Besenbek;555;e;12,99;e;43;e
;010565616045;Seestermühe;928;e;23,36;e;40;e
;010565616046;Seeth-Ekholt;938;e;6,89;e;136;e
;010565636006;Bokel (Kreis Pinneberg);589;e;16,02;e;37;e
;010565636010;Brande-Hörnerkirchen;1685;e;13,14;e;128;e
;010565636038;Osterhorn;423;e;6,38;e;66;e
;010565636051;Westerhorn;1274;e;9,37;e;136;e
;010565660003;Bevern;580;e;8,04;e;72;e
;010565660004;Bilsen;839;e;6,20;e;135;e
;010565660008;Bokholt-Hanredder;1342;e;8,56;e;157;e
;010565660011;Bullenkuhlen;385;e;3,93;e;98;e
;010565660014;Ellerhoop;1505;e;10,79;e;139;e
;010565660017;Groß Offenseth-Aspern;456;e;10,56;e;43;e
;010565660022;Heede (Kreis Pinneberg);839;e;15,48;e;54;e
